valid_time,latitude,longitude,duct_height_m,flag
2012-03-01 00:00:00,20.0,70.0,12.072556390977445,
2012-03-01 01:00:00,20.0,70.0,12.072556390977445,
2012-03-01 02:00:00,20.0,70.0,12.27293233082707,
2012-03-01 03:00:00,20.0,70.0,12.072556390977445,
2012-03-01 04:00:00,20.0,70.0,11.671804511278197,
2012-03-01 05:00:00,20.0,70.0,10.8703007518797,
2012-03-01 06:00:00,20.0,70.0,10.469548872180452,
2012-03-01 07:00:00,20.0,70.0,10.068796992481204,
2012-03-01 08:00:00,20.0,70.0,10.269172932330829,
2012-03-01 09:00:00,20.0,70.0,10.469548872180452,
2012-03-01 10:00:00,20.0,70.0,11.070676691729325,
2012-03-01 11:00:00,20.0,70.0,10.8703007518797,
2012-03-01 12:00:00,20.0,70.0,10.269172932330829,
2012-03-01 13:00:00,20.0,70.0,10.469548872180452,
2012-03-01 14:00:00,20.0,70.0,10.669924812030077,
2012-03-01 15:00:00,20.0,70.0,11.070676691729325,
2012-03-01 16:00:00,20.0,70.0,11.471428571428573,
2012-03-01 17:00:00,20.0,70.0,11.671804511278197,
2012-03-01 18:00:00,20.0,70.0,11.471428571428573,
2012-03-01 19:00:00,20.0,70.0,11.671804511278197,
2012-03-01 20:00:00,20.0,70.0,12.473308270676693,
2012-03-01 21:00:00,20.0,70.0,13.074436090225564,
2012-03-01 22:00:00,20.0,70.0,13.675563909774437,
2012-03-01 23:00:00,20.0,70.0,13.87593984962406,
2012-03-02 00:00:00,20.0,70.0,13.675563909774437,
2012-03-02 01:00:00,20.0,70.0,12.874060150375941,
2012-03-02 02:00:00,20.0,70.0,12.27293233082707,
2012-03-02 03:00:00,20.0,70.0,11.671804511278197,
2012-03-02 04:00:00,20.0,70.0,11.271052631578948,
2012-03-02 05:00:00,20.0,70.0,10.669924812030077,
2012-03-02 06:00:00,20.0,70.0,10.469548872180452,
2012-03-02 07:00:00,20.0,70.0,10.469548872180452,
2012-03-02 08:00:00,20.0,70.0,10.469548872180452,
2012-03-02 09:00:00,20.0,70.0,10.068796992481204,
2012-03-02 10:00:00,20.0,70.0,10.669924812030077,
2012-03-02 11:00:00,20.0,70.0,10.469548872180452,
2012-03-02 12:00:00,20.0,70.0,10.669924812030077,
2012-03-02 13:00:00,20.0,70.0,11.271052631578948,
2012-03-02 14:00:00,20.0,70.0,11.872180451127821,
2012-03-02 15:00:00,20.0,70.0,12.072556390977445,
2012-03-02 16:00:00,20.0,70.0,12.072556390977445,
2012-03-02 17:00:00,20.0,70.0,12.27293233082707,
2012-03-02 18:00:00,20.0,70.0,11.872180451127821,
2012-03-02 19:00:00,20.0,70.0,11.271052631578948,
2012-03-02 20:00:00,20.0,70.0,10.8703007518797,
2012-03-02 21:00:00,20.0,70.0,10.669924812030077,
2012-03-02 22:00:00,20.0,70.0,10.469548872180452,
2012-03-02 23:00:00,20.0,70.0,10.269172932330829,
2012-03-03 00:00:00,20.0,70.0,10.469548872180452,
2012-03-03 01:00:00,20.0,70.0,10.269172932330829,
2012-03-03 02:00:00,20.0,70.0,9.668045112781956,
2012-03-03 03:00:00,20.0,70.0,8.666165413533836,
2012-03-03 04:00:00,20.0,70.0,8.065037593984963,
2012-03-03 05:00:00,20.0,70.0,7.4639097744360905,
2012-03-03 06:00:00,20.0,70.0,7.063157894736842,
2012-03-03 07:00:00,20.0,70.0,6.662406015037594,
2012-03-03 08:00:00,20.0,70.0,6.46203007518797,
2012-03-03 09:00:00,20.0,70.0,6.662406015037594,
2012-03-03 10:00:00,20.0,70.0,8.065037593984963,
2012-03-03 11:00:00,20.0,70.0,8.465789473684211,
2012-03-03 12:00:00,20.0,70.0,8.86654135338346,
2012-03-03 13:00:00,20.0,70.0,9.267293233082707,
2012-03-03 14:00:00,20.0,70.0,9.467669172932332,
2012-03-03 15:00:00,20.0,70.0,9.467669172932332,
2012-03-03 16:00:00,20.0,70.0,9.467669172932332,
2012-03-03 17:00:00,20.0,70.0,9.467669172932332,
2012-03-03 18:00:00,20.0,70.0,9.066917293233084,
2012-03-03 19:00:00,20.0,70.0,8.86654135338346,
2012-03-03 20:00:00,20.0,70.0,8.666165413533836,
2012-03-03 21:00:00,20.0,70.0,8.465789473684211,
2012-03-03 22:00:00,20.0,70.0,9.467669172932332,
2012-03-03 23:00:00,20.0,70.0,9.467669172932332,
2012-03-04 00:00:00,20.0,70.0,9.467669172932332,
2012-03-04 01:00:00,20.0,70.0,9.467669172932332,
2012-03-04 02:00:00,20.0,70.0,9.467669172932332,
2012-03-04 03:00:00,20.0,70.0,9.066917293233084,
2012-03-04 04:00:00,20.0,70.0,8.666165413533836,
2012-03-04 05:00:00,20.0,70.0,8.465789473684211,
2012-03-04 06:00:00,20.0,70.0,8.465789473684211,
2012-03-04 07:00:00,20.0,70.0,8.265413533834588,
2012-03-04 08:00:00,20.0,70.0,8.265413533834588,
2012-03-04 09:00:00,20.0,70.0,8.465789473684211,
2012-03-04 10:00:00,20.0,70.0,8.666165413533836,
2012-03-04 11:00:00,20.0,70.0,9.066917293233084,
2012-03-04 12:00:00,20.0,70.0,9.86842105263158,
2012-03-04 13:00:00,20.0,70.0,9.86842105263158,
2012-03-04 14:00:00,20.0,70.0,9.86842105263158,
2012-03-04 15:00:00,20.0,70.0,9.86842105263158,
2012-03-04 16:00:00,20.0,70.0,10.068796992481204,
2012-03-04 17:00:00,20.0,70.0,10.068796992481204,
2012-03-04 18:00:00,20.0,70.0,10.068796992481204,
2012-03-04 19:00:00,20.0,70.0,10.269172932330829,
2012-03-04 20:00:00,20.0,70.0,10.469548872180452,
2012-03-04 21:00:00,20.0,70.0,10.669924812030077,
2012-03-04 22:00:00,20.0,70.0,11.271052631578948,
2012-03-04 23:00:00,20.0,70.0,11.070676691729325,
2012-03-05 00:00:00,20.0,70.0,10.8703007518797,
2012-03-05 01:00:00,20.0,70.0,10.269172932330829,
2012-03-05 02:00:00,20.0,70.0,9.467669172932332,
2012-03-05 03:00:00,20.0,70.0,8.465789473684211,
2012-03-05 04:00:00,20.0,70.0,7.4639097744360905,
2012-03-05 05:00:00,20.0,70.0,6.862781954887218,
2012-03-05 06:00:00,20.0,70.0,6.662406015037594,
2012-03-05 07:00:00,20.0,70.0,7.063157894736842,
2012-03-05 08:00:00,20.0,70.0,8.065037593984963,
2012-03-05 09:00:00,20.0,70.0,8.86654135338346,
2012-03-05 10:00:00,20.0,70.0,9.467669172932332,
2012-03-05 11:00:00,20.0,70.0,10.068796992481204,
2012-03-05 12:00:00,20.0,70.0,10.669924812030077,
2012-03-05 13:00:00,20.0,70.0,11.471428571428573,
2012-03-05 14:00:00,20.0,70.0,11.671804511278197,
2012-03-05 15:00:00,20.0,70.0,11.872180451127821,
2012-03-05 16:00:00,20.0,70.0,11.872180451127821,
2012-03-05 17:00:00,20.0,70.0,11.671804511278197,
2012-03-05 18:00:00,20.0,70.0,11.471428571428573,
2012-03-05 19:00:00,20.0,70.0,11.671804511278197,
2012-03-05 20:00:00,20.0,70.0,11.671804511278197,
2012-03-05 21:00:00,20.0,70.0,11.872180451127821,
2012-03-05 22:00:00,20.0,70.0,11.872180451127821,
2012-03-05 23:00:00,20.0,70.0,12.072556390977445,
2012-03-06 00:00:00,20.0,70.0,12.072556390977445,
2012-03-06 01:00:00,20.0,70.0,12.072556390977445,
2012-03-06 02:00:00,20.0,70.0,12.072556390977445,
2012-03-06 03:00:00,20.0,70.0,11.671804511278197,
2012-03-06 04:00:00,20.0,70.0,11.271052631578948,
2012-03-06 05:00:00,20.0,70.0,11.271052631578948,
2012-03-06 06:00:00,20.0,70.0,11.471428571428573,
2012-03-06 07:00:00,20.0,70.0,11.872180451127821,
2012-03-06 08:00:00,20.0,70.0,11.671804511278197,
2012-03-06 09:00:00,20.0,70.0,12.072556390977445,
2012-03-06 10:00:00,20.0,70.0,12.473308270676693,
2012-03-06 11:00:00,20.0,70.0,12.673684210526318,
2012-03-06 12:00:00,20.0,70.0,12.673684210526318,
2012-03-06 13:00:00,20.0,70.0,12.673684210526318,
2012-03-06 14:00:00,20.0,70.0,12.673684210526318,
2012-03-06 15:00:00,20.0,70.0,13.074436090225564,
2012-03-06 16:00:00,20.0,70.0,13.475187969924812,
2012-03-06 17:00:00,20.0,70.0,14.076315789473686,
2012-03-06 18:00:00,20.0,70.0,14.477067669172934,
2012-03-06 19:00:00,20.0,70.0,14.276691729323309,
2012-03-06 20:00:00,20.0,70.0,14.076315789473686,
2012-03-06 21:00:00,20.0,70.0,13.87593984962406,
2012-03-06 22:00:00,20.0,70.0,13.27481203007519,
2012-03-06 23:00:00,20.0,70.0,12.673684210526318,
2012-03-07 00:00:00,20.0,70.0,12.072556390977445,
2012-03-07 01:00:00,20.0,70.0,11.671804511278197,
2012-03-07 02:00:00,20.0,70.0,11.271052631578948,
