year,month,format,sst_mean,t2m_mean,d2m_mean,wind_speed_mean,deltaT_mean,n_hours
1980,01,nc,299.58306884765625,296.7899169921875,289.2535400390625,3.7789306640625,-2.793153762817383,744
1980,02,grib,299.4921875,297.7851257324219,289.51678466796875,3.996594190597534,-1.707046627998352,696
1980,03,grib,299.9903259277344,298.9540405273437,291.5513916015625,3.827763080596924,-1.0362623929977417,744
1980,04,grib,301.2494812011719,301.1112060546875,294.9690856933594,3.1399197578430176,-0.1382502615451812,720
1980,05,grib,302.87286376953125,301.90557861328125,296.21697998046875,3.83530330657959,-0.9673099517822266,744
1980,06,grib,303.0177001953125,300.35699462890625,297.61199951171875,5.457534790039063,-2.6607043743133545,720
1980,07,nc,301.3195495605469,299.6202697753906,297.0914611816406,8.14430046081543,-1.699292540550232,744
1980,08,grib,300.9085388183594,299.02740478515625,296.7079467773437,6.6012349128723145,-1.8811397552490237,744
1980,09,grib,301.2032165527344,299.453125,296.18878173828125,3.80098032951355,-1.7500864267349243,720
1980,10,grib,301.99627685546875,300.4696655273437,294.87078857421875,2.7098143100738525,-1.5265988111495972,744
1980,11,grib,301.7891540527344,299.96728515625,292.333251953125,3.578763723373413,-1.82187294960022,720
1980,12,grib,300.1039428710937,297.3360290527344,289.06414794921875,3.4429407119750977,-2.767942428588867,744
1981,01,nc,299.4095153808594,296.5677795410156,288.81463623046875,3.883219957351685,-2.8417673110961914,744
1981,02,grib,299.2156677246094,297.81451416015625,289.2166442871094,3.6202330589294434,-1.4011656045913696,672
1981,03,grib,300.3007507324219,299.2652587890625,291.3072509765625,3.5093793869018555,-1.035502791404724,744
1981,04,grib,301.6051940917969,300.82635498046875,294.0400085449219,3.771738767623901,-0.778877317905426,720
1981,05,grib,302.8039245605469,301.842529296875,295.95819091796875,4.103501319885254,-0.9614115357398988,744
1981,06,grib,302.36358642578125,300.7936706542969,297.427001953125,5.299728393554688,-1.569911003112793,720
1981,07,nc,301.3832702636719,299.4934387207031,297.0504455566406,7.827446460723877,-1.8898115158081052,744
1981,08,grib,300.48077392578125,298.9896850585937,296.49053955078125,7.466533184051514,-1.4910813570022583,744
1981,09,grib,301.5859680175781,299.5859069824219,296.6535339355469,3.1891191005706787,-2.0000927448272705,720
1981,10,grib,302.1503295898437,300.27978515625,294.68524169921875,3.2031712532043457,-1.8705815076828003,744
1981,11,grib,300.6637878417969,298.35711669921875,290.3154602050781,3.919321775436402,-2.306655168533325,720
1981,12,grib,299.5708312988281,297.4292297363281,289.5545349121094,3.5695393085479736,-2.141606092453003,744
1982,01,nc,299.0619201660156,296.5080261230469,289.8893737792969,3.044443130493164,-2.5538625717163086,744
1982,02,grib,299.0830993652344,297.0565490722656,289.73114013671875,3.8817644119262695,-2.0265510082244877,672
1982,03,grib,299.7533264160156,298.5296936035156,290.51226806640625,3.975903034210205,-1.2236196994781494,744
1982,04,grib,300.31329345703125,299.6939697265625,294.1048583984375,3.7678840160369873,-0.6193212866783142,720
1982,05,grib,302.255126953125,301.4167175292969,295.9599304199219,3.700746536254883,-0.8384354114532471,744
1982,06,grib,303.06463623046875,301.231689453125,297.59014892578125,5.519400596618652,-1.8329695463180544,720
1982,07,nc,302.0116271972656,299.8868713378906,297.3448486328125,7.028140544891357,-2.124760389328003,744
1982,08,grib,301.09088134765625,299.1999206542969,296.83013916015625,7.767282962799072,-1.8909590244293213,744
1982,09,grib,301.3441467285156,299.3231201171875,296.1829528808594,3.385080337524414,-2.0210189819335938,720
1982,10,grib,302.9172058105469,300.9602966308594,295.8113708496094,2.315295696258545,-1.956886887550354,744
1982,11,grib,301.3906555175781,299.1374816894531,293.6596069335937,3.58886456489563,-2.2531778812408447,720
1982,12,grib,300.259521484375,298.0765380859375,290.572998046875,3.604241371154785,-2.182981014251709,744
1983,01,nc,298.8887634277344,296.3995666503906,288.7278747558594,3.952603816986084,-2.4892067909240723,744
1983,02,grib,298.9036560058594,296.2330627441406,287.9407043457031,4.099841117858887,-2.6705658435821533,672
1983,03,grib,299.3406066894531,297.9975280761719,290.3895874023437,4.109669208526611,-1.3430927991867063,744
1983,04,grib,300.0200500488281,299.37213134765625,292.8463134765625,4.232943534851074,-0.6479004621505737,720
1983,05,grib,302.0904846191406,301.44439697265625,296.12139892578125,4.438005447387695,-0.6461120247840881,744
